match_id,season_id,date,home_team,away_team,home_score,away_score,status,stadium,attendance
93476,578,2023-12-10 23:00:00,163,11,1,2,C,Kenilworth Road,11047.0
93479,578,2023-12-11 01:30:00,21,23,4,1,C,Tottenham Hotspur Stadium,61171.0
93489,578,2023-12-16 05:00:00,15,21,0,2,C,The City Ground,29296.0
93485,578,2023-12-17 00:00:00,4,18,2,0,C,Stamford Bridge,39599.0
93487,578,2023-12-17 00:00:00,11,6,2,2,C,Etihad Stadium,53112.0
93488,578,2023-12-17 00:00:00,23,34,3,0,C,St. James' Park,52055.0
93484,578,2023-12-17 02:30:00,43,7,0,2,C,Turf Moor,21413.0
93481,578,2023-12-17 23:00:00,1,131,2,0,C,Emirates Stadium,60257.0
93483,578,2023-12-17 23:00:00,130,2,1,2,C,Gtech Community Stadium,17034.0
93490,578,2023-12-17 23:00:00,25,38,3,0,C,London Stadium,62455.0
93486,578,2023-12-18 01:30:00,10,12,0,0,C,Anfield,57158.0
93492,578,2023-12-22 05:00:00,6,131,1,1,C,Selhurst Park,24171.0
93491,578,2023-12-23 05:00:00,2,18,1,1,C,Villa Park,41651.0
93499,578,2023-12-23 21:30:00,25,12,2,0,C,London Stadium,64472.0
93493,578,2023-12-24 00:00:00,34,43,0,2,C,Craven Cottage,23598.0
93495,578,2023-12-24 00:00:00,163,23,1,0,C,Kenilworth Road,11042.0
93497,578,2023-12-24 00:00:00,15,127,2,3,C,The City Ground,29188.0
93498,578,2023-12-24 00:00:00,21,7,2,1,C,Tottenham Hotspur Stadium,61808.0
93494,578,2023-12-24 02:30:00,10,1,1,1,C,Anfield,57548.0
93500,578,2023-12-24 22:00:00,38,4,2,1,C,Molineux Stadium,31641.0
93509,578,2023-12-26 21:30:00,23,15,1,3,C,St. James' Park,52207.0
93502,578,2023-12-27 00:00:00,127,34,3,0,C,Vitality Stadium,11099.0
93510,578,2023-12-27 00:00:00,18,163,2,3,C,Bramall Lane,31041.0
93505,578,2023-12-27 02:30:00,43,10,0,2,C,Turf Moor,21624.0
93508,578,2023-12-27 05:00:00,12,2,3,2,C,Old Trafford,73574.0
93503,578,2023-12-28 04:30:00,130,38,1,4,C,Gtech Community Stadium,17109.0
93506,578,2023-12-28 04:30:00,4,6,2,1,C,Stamford Bridge,39618.0
93507,578,2023-12-28 05:15:00,7,11,1,3,C,Goodison Park,39327.0
93504,578,2023-12-29 04:30:00,131,21,4,2,C,American Express Stadium,31675.0
93501,578,2023-12-29 05:15:00,1,25,0,2,C,Emirates Stadium,60261.0
93515,578,2023-12-30 21:30:00,163,4,2,3,C,Kenilworth Road,11041.0
93511,578,2023-12-31 00:00:00,2,43,3,2,C,Villa Park,41613.0
93512,578,2023-12-31 00:00:00,6,130,3,1,C,Selhurst Park,25472.0
93516,578,2023-12-31 00:00:00,11,18,2,0,C,Etihad Stadium,53108.0
93520,578,2023-12-31 00:00:00,38,7,3,0,C,Molineux Stadium,31639.0
93517,578,2023-12-31 02:30:00,15,12,2,1,C,The City Ground,29529.0
93513,578,2023-12-31 23:00:00,34,1,2,1,C,Craven Cottage,24444.0
93518,578,2023-12-31 23:00:00,21,127,3,1,C,Tottenham Hotspur Stadium,61780.0
93514,578,2024-01-02 05:00:00,10,23,4,2,C,Anfield,57471.0
93519,578,2024-01-03 04:30:00,25,131,0,0,C,London Stadium,62462.0
