player_id,name,position,nationality
3320,Luke Freeman,M,England
4305,Kerim Frei,M,Turkiye
1420,Brad Friedel,G,United States
3551,Emmanuel Frimpong,M,Ghana
4335,Ezekiel Fryers,D,England
2787,Ricardo Fuller,F,Jamaica
3009,Danny Gabbidon,D,Wales
2054,William Gallas,D,France
3868,Luke Garbutt,D,England
3800,Gary Gardner,M,England
4440,Cameron Gayle,D,England
4303,Marcel Gecov,M,Czech Republic
2390,Zoltán Gera,M,Hungary
4466,Antonio German,F,Grenada
1575,Steven Gerrard,M,England
4255,Gervinho,F,Cote D’Ivoire
4379,Jordan Gibbons,M,England
3046,Kieran Gibbs,D,England
2942,Darron Gibson,M,Ireland
335,Ryan Giggs,M,Wales
3918,Oliver Gill,D,England
851,Shay Given,G,Ireland
3569,Gaël Givet,D,France
3975,Steve Gohouri,D,Cote D’Ivoire
3977,Román Golobart,D,Spain
4140,David González,G,Colombia
4272,David Goodwillie,F,Scotland
3858,Ben Gordon,D,England
4468,Kaspars Gorkss,D,Latvia
4455,Johnny Gorman,M,Northern Ireland
3390,Dan Gosling,M,England
3166,Herold Goulon,M,France
4415,Mark Gower,M,England
4260,Jack Grealish,M,England
3571,Vince Grella,M,Australia
4233,Leigh Griffiths,F,Scotland
4300,Jack Grimmer,D,Scotland
4299,Zdenek Grygera,D,Czech Republic
4004,Adlène Guédioura,M,Algeria
4117,Magaye Gueye,F,Senegal
4153,John Guidetti,F,Sweden
3400,Péter Gulácsi,G,Hungary
3131,Danny Guthrie,M,England
3683,Jonás Gutiérrez,M,Argentina
3558,Brad Guzan,G,United States
4188,Asamoah Gyan,F,Ghana
2069,Marcus Hahnemann,G,United States
4132,Ádám Hajdú,M,Hungary
4249,Sead Hajrovic,D,Switzerland
2558,Fitz Hall,D,England
4122,Rafik Halliche,D,Algeria
4113,Johan Hammar,D,Sweden
3134,Adam Hammill,M,England
3394,Brede Hangeland,D,Norway
3819,Grant Hanley,D,Scotland
3445,Owen Hargreaves,M,England
4471,Ryan Harley,M,England
709,Steve Harper,G,England
4373,Michael Harriman,D,Ireland
4454,Louis Harris,M,England
3143,Joe Hart,G,England
3867,John Heitinga,D,Netherlands
4533,Jeremy Helan,M,France
1791,Heidar Helguson,F,Iceland
4010,Ashley Hemmings,F,England
3555,Conor Henderson,M,Ireland
