player_id,name,position,nationality
4373,Michael Harriman,D,Ireland
4644,Scott Harrison,D,England
3143,Joe Hart,G,England
1045,Ian Harte,D,Ireland
4500,Thorgan Hazard,M,Belgium
4582,Michael Hector,D,Jamaica
3867,John Heitinga,D,Netherlands
4533,Jeremy Helan,M,France
3555,Conor Henderson,M,Ireland
4574,Jonathan Henly,G,Scotland
3097,Henrique Hilário,G,Portugal
4542,Ángelo Henríquez,F,Chile
4658,Henry Jones,M,Wales
3327,Chris Herd,M,Australia
3719,Heurelho Gomes,G,Brazil
4387,Troy Hewitt,F,England
1881,Tony Hibbert,D,England
1426,Danny Higginbotham,D,Gibraltar
4371,Clint Hill,D,England
4058,Tom Hitchcock,F,England
1840,Thomas Hitzlsperger,M,Germany
3823,Junior Hoilett,F,Canada
4491,Brett Holman,F,Australia
4320,Eirik Holmen Johansen,G,Norway
4363,Grant Holt,F,England
4667,Lewis Holtby,M,Germany
4610,Jos Hooiveld,D,Netherlands
4357,Wes Hoolahan,M,Ireland
13551,James Horsfield,D,England
4630,Sam Hoskins,F,England
2516,Tim Howard,G,United States
4355,Jonny Howson,M,England
2991,Tom Huddlestone,M,England
1230,Aaron Hughes,D,Northern Ireland
2830,Robert Hulse,F,England
13550,Cameron Humphreys,D,England
4593,Noel Hunt,F,Ireland
3931,James Hurst,D,England
3099,Sam Hutchinson,M,England
2053,Robert Huth,D,Germany
3506,Alan Hutton,D,Scotland
5558,Emyr Huws,M,Wales
4527,Jordon Ibe,F,England
3911,Abdisalam Abdulkadir Ibrahim,M,Norway
4284,Rohan Ince,M,Montserrat
3685,Bradden Inman,F,Australia
2928,Stephen Ireland,M,Ireland
4621,Lloyd Isgrove,M,Wales
3360,Branislav Ivanovic,D,Serbia
1342,Jussi Jääskeläinen,G,Finland
4364,Simeon Jackson,F,Canada
3222,Phil Jagielka,D,England
4631,Jake Sinclair,F,England
4541,Adnan Januzaj,M,Belgium
4197,Gonzalo Jara,D,Chile
4000,Matthew Jarvis,M,England
4534,Javi García,M,Spain
3427,Javier Garrido,D,Spain
4296,Nikica Jelavic,F,Croatia
2127,Jermaine Jenas,M,England
4248,Carl Jenkinson,D,England
2530,Cameron Jerome,F,England
4397,Ji Dong-Won,F,South Korea
4506,Jiang Guangtai,D,China
4174,JJ Hooper,F,England
4317,João Teixeira,M,Portugal
3102,John Obi Mikel,M,Nigeria
4044,Daniel Johnson,M,Jamaica
4331,Sam Johnstone,G,England
1947,Bradley Jones,G,Australia
4135,Jonjo Shelvey,M,England
3981,Jordi Gómez,M,Spain
4512,Jesse Joronen,G,Finland
3587,José Bosingwa,D,Portugal
3462,José Enrique,D,Spain
4606,José Fonte,D,Portugal
4566,Julio César,G,Brazil
3508,Younes Kaboul,D,France
3408,Alexander Kacaniklic,M,Sweden
4538,Shinji Kagawa,M,Japan
3594,Gaël Kakuta,M,DR Congo
4101,Tomás Kalas,D,Czech Republic
4707,Kei Kamara,F,Sierra Leone
4497,Todd Kane,D,England
3481,Jem Karacan,M,Turkiye
4515,Giorgos Karagounis,M,Greece
4302,Pajtim Kasami,M,Switzerland
4203,Kayleden Brown,F,Wales
4333,Michael Keane,D,England
3483,Jimmy Kébé,M,Mali
3644,Martin Kelly,D,England
4414,Kemy Agustien,M,Curacao
4508,Matthew Kennedy,D,Northern Ireland
4580,Niall Keown,D,Ireland
4190,Bongani Khumalo,D,South Africa
4656,Ki Sung-Yeung,M,South Korea
4444,Robert Kiernan,D,Ireland
2579,Michael Kightly,M,England
2260,Matthew Kilgallon,D,England
3926,Joshua King,F,Norway
4186,Billy Knott,M,England
4141,Aleksandar Kolarov,D,Serbia
2002,Kolo Touré,D,Cote D’Ivoire
3653,Vincent Kompany,D,Belgium
4701,Arouna Koné,F,
4030,Laurent Koscielny,D,France
3169,Tim Krul,G,Netherlands
4646,Jordan Laidler,M,England
4182,Louis Laing,D,England
4109,Milan Lalkovic,F,Slovakia
4618,Adam Lallana,M,England
4655,Roland Lamah,M,Belgium
4627,Rickie Lambert,F,England
800,Frank Lampard,M,England
4436,Cameron Lancaster,F,England
3049,Henri Lansbury,M,England
4358,Simon Lappin,M,Scotland
2613,Sebastian Larsson,M,Sweden
4592,Adam Le Fondre,F,England
4628,Tadanari Lee,F,Japan
2668,Mikele Leigertwood,M,Antigua & Barbuda
2270,Aaron Lennon,M,England
4565,Aaron Lennox,G,Australia
2574,Joleon Lescott,D,England
4034,Li Ke,D,China
3324,Eric Lichaj,D,United States
4575,Dan Lincoln,G,England
4154,Anders Lindegaard,G,Denmark
4337,Jesse Lingard,M,England
3204,Leroy Lita,F,England
3244,Jake Livermore,M,England
4686,Sebastian Lletget,M,United States
4664,Hugo Lloris,G,France
5179,Ruben Loftus-Cheek,M,England
3206,Shane Long,F,Ireland
4590,Charlie Losasso,M,England
4661,James Loveridge,F,Wales
4487,Matthew Lowton,D,England
4418,Lee Lucas,M,Wales
3137,Lucas Leiva,M,Brazil
4289,Lucas Piazón,M,Brazil
4290,Romelu Lukaku,F,Belgium
3946,Matty Lund,M,Northern Ireland
4509,John Lundstram,M,England
4432,Massimo Luongo,M,Australia
4189,Craig Lynch,F,England
4581,Angus MacDonald,D,England
3454,Federico Macheda,F,Italy
4381,Jamie Mackie,F,Scotland
4169,Marcus Maddison,M,England
4567,Sam Magri,D,Malta
4693,Sean Maguire,F,Ireland
4531,Maicon,D,Brazil
4690,Modibo Maiga,F,Mali
4043,Jean Makoun,M,Cameroon
3066,Shaun Maloney,M,Scotland
3363,Florent Malouda,M,France
4648,Mikael Mandron,F,France
4641,Kader Mangane,D,Senegal
2834,Vito Mannone,G,Italy
4513,Stanislav Manolev,D,Bulgaria
4202,Sam Mantom,M,England
4420,Kurtis March,M,Wales
3251,Adrian Mariappa,D,Jamaica
4502,Marko Marin,M,Germany
4332,Marnick Vermijl,D,Belgium
4642,Liam Marrs,D,England
730,Andy Marshall,G,England
4349,Russell Martin,D,Scotland
4245,Emiliano Martínez,G,Argentina
