player_id,name,position,nationality
3309,Lukasz Fabianski,G,Poland
11247,Fabinho,M,Brazil
32289,Fábio Carvalho,M,Portugal
66670,Fábio Silva,F,Portugal
67631,Fábio Vieira,M,Portugal
31663,Malachi Fagan-Walcott,D,England
32159,Romain Faivre,M,France
66735,Ansu Fati,F,Spain
20130,Felipe,D,Brazil
71590,Evan Ferguson,F,Ireland
63741,Enzo Fernández,M,Argentina
51582,Will Fish,D,England
8444,John Fleck,M,Scotland
33280,Mark Flekken,G,Netherlands
14805,Phil Foden,M,England
3881,Wes Foderingham,G,England
66284,Wesley Fofana,D,France
92631,Michael Forbes,D,Northern Ireland
23692,Tyrese Fornah,M,Sierra Leone
25246,Pablo Fornals,M,Spain
66691,Omari Forson,F,England
3170,Fraser Forster,G,England
64282,Lyle Foster,F,South Africa
10883,Tariqe Fosu,F,Ghana
69260,Denis Franchi,G,Italy
119423,Aidan Francis-Clarke,D,England
24704,Tyrese Francois,M,Australia
8052,Ryan Fraser,M,Scotland
107830,Melkamu Frauendorf,M,Germany
5906,Fred,M,Brazil
3958,Ryan Fredericks,D,England
140365,Benjamin Fredrick,D,Nigeria
3320,Luke Freeman,M,England
22624,Remo Freuler,M,Switzerland
66367,James Furlong,D,Ireland
19680,Gabriel Jesus,F,Brazil
50234,Gabriel Magalhães,D,Brazil
66104,Gabriel Martinelli,M,Brazil
32894,Cody Gakpo,F,Netherlands
21887,Conor Gallagher,M,England
115447,Joe Gardner,F,Ireland
68987,Alejandro Garnacho,F,Argentina
23841,James Garner,M,England
51901,Joe Gauci,G,Australia
20187,Jean-Philippe Gbamin,M,Cote D’Ivoire
117587,Billy Gee,D,England
118442,Tyrique George,F,England
25094,Saman Ghoddos,F,Iran
15259,Morgan Gibbs-White,M,England
51614,Alexander Gibson-Hammond,F,England
55700,Bryan Gil,F,Spain
25534,Alex Gilbert,F,Ireland
98288,Alfie Gilchrist,D,England
20081,Ryan Giles,D,England
8321,Mark Gillespie,G,England
24221,Billy Gilmour,M,Scotland
10968,Ben Godfrey,D,England
124083,Martial Godo,F,England
117859,Michael Golding,M,England
10651,Joe Gomez,D,England
11130,Gonçalo Guedes,F,Portugal
139644,Enso González,F,Paraguay
13702,Charlie Goode,D,England
107823,Owen Goodman,G,England
64037,John-Kymani Gordon,F,England
112653,Daniel Gore,M,England
117446,True Grant,G,England
49909,Ryan Gravenberch,M,Netherlands
7946,Demarai Gray,F,Jamaica
50661,Ivo Grbic,G,Croatia
4260,Jack Grealish,M,England
55968,Ben Greenwood,D,Ireland
127627,Seán Grehan,D,Ireland
65796,Harvey Griffiths,M,England
22542,Pascal Groß,M,Germany
7548,Vicente Guaita,G,Spain
6210,Jóhann Gudmundsson,F,Iceland
14569,Marc Guéhi,D,England
12582,Idrissa Gueye,M,Senegal
5101,Ilkay Gündogan,M,Germany
117552,Luca Gunter,G,England
32478,Gustavo Scarpa,M,Brazil
68827,Malo Gusto,D,France
67178,Josko Gvardiol,D,Croatia
65970,Erling Haaland,F,Norway
69019,Jordan Hackett,D,England
83496,Antwoine Hackford,F,England
108922,Lewis Hall,D,England
20361,Gustavo Hamer,M,Netherlands
63841,Micah Hamilton,F,England
112079,Oli Hammond,M,Wales
131841,Owen Hampson,M,Wales
107834,Isak Hansen-Aaröen,M,Norway
107809,Luke Harris,M,Wales
130153,Ollie Harrison,M,England
25447,Taylor Harwood-Bellis,D,England
112538,Daiki Hashioka,D,Japan
10000,Kortney Hause,D,England
20810,Kai Havertz,F,Germany
4713,Isaac Hayden,M,Jamaica
2933,Tom Heaton,G,England
133114,Ayden Heaven,D,England
65781,Krisztián Hegyi,G,Hungary
51917,Karl Hein,G,Estonia
13988,Dean Henderson,G,England
