player_id,name,nationality,position,shirt_number,image_path
4838,Wilfried Bony,Cote D’Ivoire,F,2.0,premier_league_data/season_1718/Wilfried_Bony_4838.png
13475,Regan Booty,England,M,8.0,
13560,Cameron Borthwick-Jackson,England,D,3.0,
4601,Artur Boruc,Poland,G,1.0,premier_league_data/season_1718/Artur_Boruc_4601.png
12584,Sofiane Boufal,Morocco,F,23.0,premier_league_data/season_1718/Sofiane_Boufal_12584.png
4788,George Boyd,Scotland,F,14.0,premier_league_data/season_1718/George_Boyd_4788.png
4158,Robert Brady,Ireland,M,11.0,premier_league_data/season_1718/Robert_Brady_4158.png
21627,Cohen Bramall,England,D,18.0,premier_league_data/season_1718/Cohen_Bramall_21627.png
9032,Cameron Brannagan,England,M,,premier_league_data/season_1718/Cameron_Brannagan_9032.png
5810,Claudio Bravo,Chile,G,25.0,premier_league_data/season_1718/Claudio_Bravo_5810.png
14742,Rhian Brewster,England,F,,premier_league_data/season_1718/Rhian_Brewster_14742.png
5668,Miguel Britos,Uruguay,D,3.0,premier_league_data/season_1718/Miguel_Britos_5668.png
2152,Leon Britton,England,M,7.0,premier_league_data/season_1718/Leon_Britton_2152.png
14636,Nathan Broadhead,Wales,F,33.0,premier_league_data/season_1718/Nathan_Broadhead_14636.png
4674,Isaiah Brown,England,M,20.0,premier_league_data/season_1718/Isaiah_Brown_4674.png
13873,Marcus Browne,England,M,18.0,premier_league_data/season_1718/Marcus_Browne_13873.png
8162,Bruno,Spain,D,2.0,premier_league_data/season_1718/Bruno_8162.png
3744,Chris Brunt,Northern Ireland,M,29.0,premier_league_data/season_1718/Chris_Brunt_3744.png
23695,Marcin Bulka,Poland,G,1.0,premier_league_data/season_1718/Marcin_Bulka_23695.png
8892,Harry Bunn,England,F,23.0,premier_league_data/season_1718/Harry_Bunn_8892.png
10596,Oliver Burke,Scotland,F,45.0,premier_league_data/season_1718/Oliver_Burke_10596.png
11965,Matt Butcher,England,M,26.0,premier_league_data/season_1718/Matt_Butcher_11965.png
4634,Jack Butland,England,G,1.0,premier_league_data/season_1718/Jack_Butland_4634.png
10956,George Byers,Scotland,M,7.0,premier_league_data/season_1718/George_Byers_10956.png
8945,Sam Byram,England,D,25.0,premier_league_data/season_1718/Sam_Byram_8945.png
10466,Willy Caballero,Argentina,G,1.0,premier_league_data/season_1718/Willy_Caballero_10466.png
4341,Yohan Cabaye,France,M,29.0,premier_league_data/season_1718/Yohan_Cabaye_4341.png
14547,Tom Cadman,Ireland,D,45.0,
2620,Gary Cahill,England,D,24.0,premier_league_data/season_1718/Gary_Cahill_2620.png
9576,Dominic Calvert-Lewin,England,F,9.0,premier_league_data/season_1718/Dominic_Calvert-Lewin_9576.png
4636,Geoff Cameron,United States,D,20.0,premier_league_data/season_1718/Geoff_Cameron_4636.png
4254,Joel Campbell,Costa Rica,F,8.0,premier_league_data/season_1718/Joel_Campbell_4254.png
5001,Emre Can,Germany,M,23.0,premier_league_data/season_1718/Emre_Can_5001.png
4843,Étienne Capoue,France,M,6.0,premier_league_data/season_1718/Étienne_Capoue_4843.png
9869,Baily Cargill,England,D,6.0,premier_league_data/season_1718/Baily_Cargill_9869.png
1634,Michael Carrick,England,M,16.0,premier_league_data/season_1718/Michael_Carrick_1634.png
15989,Guido Carrillo,Argentina,F,7.0,premier_league_data/season_1718/Guido_Carrillo_15989.png
4430,Tom Carroll,England,M,11.0,premier_league_data/season_1718/Tom_Carroll_4430.png
13814,Cameron Carter-Vickers,United States,D,20.0,premier_league_data/season_1718/Cameron_Carter-Vickers_13814.png
3160,Craig Cathcart,Northern Ireland,D,,premier_league_data/season_1718/Craig_Cathcart_3160.png
4477,Santi Cazorla,Spain,M,8.0,premier_league_data/season_1718/Santi_Cazorla_4477.png
2651,Petr Cech,Czech Republic,G,1.0,premier_league_data/season_1718/Petr_Cech_2651.png
11347,Cédric Soares,Portugal,D,12.0,premier_league_data/season_1718/Cédric_Soares_11347.png
4844,Nacer Chadli,Belgium,M,89.0,premier_league_data/season_1718/Nacer_Chadli_4844.png
