height,market_value,full_name,preferred_foot,primary_position,shirt,assists,goals,matches,minutes_played,rating,red_cards,started,yellow_cards
194,€25M,Issa Diop,Right,CB,31,0,0,21,"1,335",6.58,0,15,2
178,€13M,Ryan Sessegnon,Left,LB,30,2,4,16,580,6.95,0,7,1
183,€30M,Antonee Robinson,Left,LB,33,10,0,36,"3,167",7.34,0,35,8
181,€19M,Harrison Reed,Right,DM,6,0,0,12,92,6.27,0,0,2
185,€2.5M,Tom Cairney,Left,DM,10,0,2,25,615,6.59,1,3,3
193,€22M,Sander Berge,Right,DM,16,0,0,31,"2,227",6.82,0,26,6
178,€23M,Andreas Pereira,Right,DM,18,4,2,33,"2,022",6.73,0,25,8
183,€13M,Sasa Lukic,Right,DM,20,2,0,30,"2,355",6.85,0,28,12
,€250K,Joshua King,Right,DM,24,0,0,8,126,6.40,0,1,0
177,€950K,Luke Harris,Right,CM,,0,0,1,74,6.02,0,0,0
182,€25M,Emile Smith Rowe,Right,AM,32,3,6,34,"2,061",6.87,0,25,3
173,€20M,Harry Wilson,Left,DM,8,1,6,25,"1,157",6.87,0,12,2
178,€9.5M,Adama Traoré,Right,RM,11,7,2,36,"1,769",6.86,0,18,3
180,€30M,Alex Iwobi,Right,DM,17,6,9,38,"2,994",7.26,0,35,1
175,€18M,Reiss Nelson,Right,LW,19,1,1,12,488,6.92,0,5,1
175,€3M,Willian,Right,LW,22,0,0,10,253,6.54,0,2,0
,,Martial Godo,Right,LW,47,0,0,2,21,5.96,0,0,0
188,€5.3M,Raul Jiménez,Right,ST,7,3,12,38,"2,505",6.93,0,30,4
186,€22M,Rodrigo Muniz,Right,ST,9,1,8,31,951,6.56,0,8,1
190,€4.5M,Carlos Vinicius,Left,ST,12,0,0,3,13,,0,0,0
188,€1.3M,Joel Ward,Right,CB,2,0,0,2,72,6.37,0,1,1
190,€23M,Maxence Lacroix,Right,CB,5,1,1,35,"3,118",6.98,0,35,5
182,€47M,Marc Guehi,Right,CB,6,2,3,34,"3,059",6.91,1,34,7
175,€2M,Nathaniel Clyne,Right,CB,17,0,0,13,481,6.22,0,5,1
188,€16M,Chris Richards,Right,CB,26,0,1,24,"1,924",6.68,1,22,2
187,€18M,Chadi Riad,Left,CB,34,0,0,1,90,6.43,0,1,0
183,€20M,Daniel Munoz,Right,RB,12,5,4,37,"3,233",7.38,0,37,10
174,€27M,Tyrick Mitchell,Left,LWB,3,5,0,37,"3,102",7.06,0,37,2
178,€23M,Ben Chilwell,Left,LWB,25,0,1,8,254,6.75,0,1,1
179,€25M,Jefferson Lerma,Right,CB,8,1,0,33,"2,277",6.76,0,26,9
185,€9.3M,Will Hughes,Left,DM,19,3,0,33,"2,118",6.72,0,24,11
182,€33M,Adam Wharton,Left,DM,20,2,0,20,"1,326",6.98,0,16,2
180,€40M,Cheick Oumar Doucouré,Right,DM,28,0,0,13,445,6.53,0,4,1
183,€730K,David Ozoh,Right,DM,,0,0,9,149,6.26,0,0,1
,€130K,Justin Devenny,Left,DM,55,1,1,23,496,6.57,0,4,1
,€1.3M,Caleb Kporha,Right,RB,58,0,0,2,11,5.88,0,0,0
,€90K,Franco Umeh-Chibueze,Left,LWB,46,,,,,,,,
185,€20M,Ismaila Sarr,Right,RW,7,6,8,38,"2,714",7.07,0,30,4
178,€60M,Eberechi Eze,Right,AM,10,8,8,34,"2,600",7.40,0,31,1
184,€22M,Daichi Kamada,Right,DM,18,0,0,34,"1,553",6.55,1,15,4
185,€1.6M,Malcolm Ebiowei,Left,AM,23,0,0,3,31,6.16,0,0,0
178,€1.8M,Jesurun Rak-Sakyi,Left,RM,,0,0,6,132,6.42,0,0,0
178,€5.3M,Romain Esse,Left,RW,21,1,1,7,135,6.58,0,1,0
182,€18M,Matheus Franca,Right,LW,11,0,1,4,52,6.65,0,0,0
188,€600K,Luke Plange,Right,RW,,,,,,,,,
175,€32M,Edward Nketiah,Right,AM,9,1,3,29,"1,026",6.45,1,9,4
192,€22M,Jean-Philippe Mateta,Right,ST,14,2,14,37,"2,654",6.86,0,33,2
197,€15M,Jake O'Brien,Right,RB,15,0,2,20,"1,569",6.99,0,17,5
175,€550K,Ashley Young,Both,RB,18,3,1,32,"1,869",6.80,1,19,7
177,€550K,Seamus Coleman,Right,RB,23,0,0,5,215,6.40,0,3,1
184,€5.5M,Mason Holgate,Right,CB,,0,0,1,5,,0,0,0
191,€6.5M,Michael Keane,Right,CB,5,0,3,14,"1,046",6.65,0,11,5
185,€17M,James Tarkowski,Right,CB,6,1,1,33,"2,924",7.09,0,33,6
195,€47M,Jarrad Branthwaite,Left,CB,32,1,0,30,"2,510",6.98,0,28,4
190,€550K,Tyler Onyango,Right,RB,62,0,0,1,1,,0,0,0
180,€33M,Vitaliy Mykolenko,Left,LB,19,2,1,35,"3,084",6.91,0,35,4
189,€19M,Nathan Patterson,Right,RB,2,1,0,10,345,6.49,0,3,1
180,€22M,Orel Mangala,Right,DM,8,0,1,19,"1,255",6.80,0,14,2
174,€2.3M,Idrissa Gana Gueye,Right,DM,27,3,0,37,"3,067",7.04,0,35,9
182,€25M,James Garner,Right,RB,37,1,0,21,"1,594",6.99,0,17,5
183,€4.5M,Tim Iroegbunam,Right,DM,42,1,0,18,564,6.21,0,5,4
183,€25M,Dwight McNeil,Left,LM,7,6,4,21,"1,371",7.17,0,15,1
184,€9.5M,Abdoulaye Doucouré,Right,DM,16,2,3,33,"2,577",6.65,1,31,3
192,€10M,Youssef Chermiti,Right,AM,17,0,0,4,42,6.06,0,0,1
175,€23M,Jack Harrison,Left,RM,11,0,1,34,"2,083",6.44,0,24,0
181,€25M,Jesper Lindstrøm,Right,RW,29,1,0,25,"1,240",6.55,0,15,2
183,€15M,Carlos Alcaraz,Right,DM,24,3,2,16,770,6.90,0,7,4
180,€16M,Iliman Ndiaye,Right,RW,10,0,9,33,"2,440",7.12,0,29,3
187,€23M,Dominic Calvert-Lewin,Right,ST,9,1,3,26,"1,613",6.50,0,19,2
194,€25M,Beto,Right,ST,14,0,8,30,"1,528",6.64,0,15,2
176,€7.5M,Vladimir Coufal,Right,RB,5,0,0,22,"1,061",6.32,0,11,5
183,€21M,Aaron Wan-Bissaka,Right,RB,29,5,2,36,"3,154",7.26,0,35,1
170,€950K,Aaron Cresswell,Left,CB,3,0,0,18,823,6.82,0,10,3
194,€17M,Konstantinos Mavropanos,Right,CB,15,0,0,33,"2,037",6.70,1,21,4
190,€35M,Jean-Clair Todibo,Right,CB,25,0,0,27,"1,831",6.60,0,20,3
192,€37M,Max Kilman,Left,CB,26,1,0,38,"3,349",6.81,0,38,5
185,€1.5M,Kaelan Casey,Right,CB,42,0,0,1,1,,0,0,0
176,€14M,Emerson,Left,LB,33,1,2,31,"2,126",6.75,0,26,5
182,€450K,Oliver Scarles,Left,LB,57,0,0,15,662,6.53,0,7,1
173,€33M,James Ward-Prowse,Right,DM,8,2,1,24,"1,440",6.80,1,17,2
186,€35M,Edson Álvarez,Both,CB,19,1,0,28,"1,781",6.53,1,20,7
185,€23M,Guido Rodriguez,Right,DM,24,1,0,23,"1,155",6.58,0,16,6
190,€35M,Tomas Soucek,Right,DM,28,1,9,35,"2,570",6.88,0,30,8
190,€1.8M,Andy Irving,Left,CM,39,0,0,10,162,6.11,0,1,2
187,€450K,Lewis Orford,Right,DM,8,,3,0,0,,0,0,0
180,€1.3M,George Earthy,Right,RWB,,0,1,3,31,7.13,0,0,0
183,€22M,Carlos Soler,Right,DM,4,1,1,31,"1,404",6.45,0,14,6
180,€70M,Lucas Paquetá,Left,DM,10,0,4,33,"2,384",6.73,0,27,10
175,€20M,Luis Guilherme,Left,AM,17,0,0,12,139,6.34,0,1,0
175,€52M,Mohammed Kudus,Left,RW,14,3,5,32,"2,601",6.90,1,31,2
174,€50M,Jarrod Bowen,Left,RW,20,8,13,34,"2,979",7.20,0,34,1
174,€23M,Crysencio Summerville,Right,LW,7,1,1,19,780,6.54,0,7,2
180,€5M,Michail Antonio,Right,ST,9,1,1,14,844,6.37,0,11,1
188,€15M,Niclas Füllkrug,Right,ST,11,2,3,18,788,6.52,0,6,2
178,€8.5M,Danny Ings,Right,ST,18,2,1,15,270,6.42,0,1,0
188,€43M,Evan Ferguson,Right,ST,34,0,1,21,387,6.20,0,3,0
174,€5.2M,Pedro Lima,Right,RB,37,0,0,3,70,6.50,0,1,0
185,€3.5M,Matt Doherty,Right,RB,2,1,2,30,"2,113",6.89,0,25,6
189,€8.5M,Santiago Bueno,Right,CB,4,0,0,29,"1,682",6.39,0,18,2
192,€10M,Emmanuel Agbadou,Right,CB,12,0,1,16,"1,411",7.10,0,16,3
187,€5M,Yerson Mosquera,Right,CB,14,0,0,5,442,6.64,0,5,2
188,€2.5M,Craig Dawson,Right,CB,15,0,0,15,969,6.17,0,10,2
188,€17M,Toti Gomes,Left,CB,24,1,0,31,"2,615",6.97,0,30,7
191,€950K,Bastien Meupiyou,Left,CB,33,,,,,,,,
187,€2M,Nasser Djiga,Right,CB,34,0,0,5,65,5.88,0,1,0
180,€15M,Nélson Semedo,Right,RB,22,4,0,34,"2,891",6.88,0,32,8
171,€15M,Rodrigo Gomes,Right,RB,19,0,2,25,797,6.51,0,7,0
172,€1.8M,Joe Hodge,Right,DM,,0,0,6,174,6.38,0,1,1
176,€40M,Joao Gomes,Right,DM,8,1,3,36,"2,987",6.90,1,35,9
172,€8M,Thomas Doyle,Right,DM,20,1,0,24,475,6.51,0,3,1
183,€6.2M,Boubacar Traore,Right,DM,6,0,0,1,1,,0,0,0
176,€27M,Andre,Right,DM,7,0,0,33,"2,484",7.03,0,31,7
