name,position,aerial_duels_won_percentile,chances_created_percentile,defensive_actions_percentile,goals_percentile,shot_attempts_percentile,touches_percentile
Jarrod Bowen,RW,37%,50%,39%,86%,85%,22%
Crysencio Summerville,LW,40%,69%,64%,10%,29%,31%
Michail Antonio,ST,55%,47%,10%,10%,33%,50%
Niclas Füllkrug,ST,93%,96%,89%,66%,44%,36%
Danny Ings,ST,51%,66%,38%,8%,80%,78%
Evan Ferguson,ST,51%,19%,74%,26%,61%,52%
Victor Nilsson Lindelöf,CB,71%,65%,29%,0%,8%,48%
Noussair Mazraoui,CB,26%,99%,56%,32%,50%,74%
Matthijs de Ligt,CB,69%,66%,22%,66%,76%,65%
Harry Maguire,CB,93%,84%,59%,95%,92%,56%
Lisandro Martinez,CB,9%,94%,17%,82%,95%,86%
Leny Yoro,CB,16%,41%,30%,54%,50%,66%
Luke Shaw,CB,2%,100%,1%,0%,14%,74%
Jonny Evans,CB,39%,0%,23%,89%,30%,56%
Harry Amass,LB,87%,9%,37%,0%,30%,63%
Diogo Dalot,LWB,72%,78%,40%,74%,69%,54%
Patrick Dorgu,LWB,91%,58%,51%,82%,98%,17%
Casemiro,DM,92%,73%,98%,82%,93%,89%
Manuel Ugarte,DM,64%,14%,98%,51%,31%,58%
Kobbie Mainoo,DM,59%,46%,32%,51%,44%,53%
Toby Collyer,DM,91%,4%,96%,0%,3%,50%
Mason Mount,AM,51%,34%,96%,48%,74%,52%
Bruno Fernandes,AM,69%,97%,85%,72%,85%,98%
Christian Eriksen,AM,10%,99%,1%,92%,95%,67%
Alejandro Garnacho,AM,22%,63%,25%,60%,98%,52%
Amad,RW,47%,94%,62%,83%,78%,87%
Rasmus Højlund,ST,33%,45%,2%,24%,7%,7%
Joshua Zirkzee,ST,35%,52%,50%,27%,32%,88%
Pedro Lima,RB,87%,60%,83%,0%,100%,55%
Matt Doherty,CB,67%,93%,23%,89%,40%,41%
Santiago Bueno,CB,35%,8%,67%,0%,20%,17%
Emmanuel Agbadou,CB,23%,74%,47%,64%,81%,84%
Yerson Mosquera,CB,61%,75%,85%,99%,58%,23%
Craig Dawson,CB,47%,28%,42%,0%,60%,38%
Toti Gomes,CB,44%,71%,72%,0%,16%,69%
Nasser Djiga,CB,13%,18%,10%,75%,10%,5%
Nélson Semedo,RWB,39%,38%,55%,0%,40%,20%
Rayan Ait Nouri,LWB,27%,41%,29%,95%,79%,30%
Rodrigo Gomes,LWB,10%,75%,20%,99%,71%,5%
Joe Hodge,DM,41%,66%,42%,52%,54%,84%
Joao Gomes,DM,16%,29%,81%,59%,43%,62%
Thomas Doyle,DM,2%,78%,68%,73%,80%,96%
Boubacar Traore,CM,63%,85%,28%,0%,63%,30%
Andre,CM,4%,12%,65%,0%,5%,60%
Marshall Munetsi,AM,97%,10%,92%,31%,30%,1%
Matheus Cunha,AM,45%,75%,70%,97%,99%,79%
Pablo Sarabia,AM,49%,58%,85%,55%,40%,87%
Jean-Ricner Bellegarde,AM,51%,42%,90%,11%,9%,40%
Hee-Chan Hwang,LW,15%,4%,34%,63%,5%,14%
Carlos Forbs,LW,26%,75%,16%,44%,13%,19%
Jørgen Strand Larsen,ST,73%,42%,68%,60%,9%,18%
Sasa Kalajdzic,ST,73%,23%,97%,11%,4%,68%
Goncalo Guedes,ST,45%,38%,47%,79%,88%,32%
Pedro Porro,RB,19%,95%,73%,81%,95%,93%
Ashley Phillips,CB,69%,19%,71%,38%,31%,16%
Kevin Danso,CB,83%,63%,96%,44%,83%,81%
Radu Dragusin,CB,50%,20%,36%,41%,22%,34%
Archie Gray,CB,2%,64%,3%,0%,0%,55%
Cristian Romero,CB,75%,87%,61%,39%,78%,89%
Ben Davies,CB,65%,64%,42%,41%,45%,94%
Micky van de Ven,CB,41%,56%,16%,0%,62%,83%
Sergio Reguilon,LB,95%,67%,95%,0%,4%,97%
Destiny Udogie,LB,16%,40%,66%,0%,14%,61%
Djed Spence,LB,78%,37%,82%,85%,40%,85%
Yves Bissouma,CM,33%,44%,84%,73%,54%,73%
James Maddison,CM,9%,96%,15%,99%,92%,88%
Lucas Bergvall,CM,35%,62%,87%,31%,59%,69%
Pape Sarr,CM,80%,31%,58%,84%,76%,38%
Rodrigo Bentancur,CM,85%,9%,97%,61%,45%,77%
Min-Hyeok Yang,RM,9%,64%,6%,98%,90%,2%
Dejan Kulusevski,RW,8%,98%,13%,95%,99%,30%
Brennan Johnson,RW,25%,7%,37%,91%,49%,4%
Wilson Odobert,RW,37%,7%,27%,75%,38%,32%
Mikey Moore,RW,13%,25%,3%,37%,28%,51%
Manor Solomon,LW,0%,89%,6%,59%,46%,57%
Heung-Min Son,LW,14%,78%,1%,70%,77%,55%
Mathys Tel,LW,39%,49%,42%,70%,93%,40%
Timo Werner,LW,3%,47%,15%,9%,65%,64%
Will Lankshear,ST,38%,2%,71%,32%,59%,24%
Richarlison,ST,38%,19%,79%,62%,62%,73%
Dominic Solanke,ST,65%,31%,84%,54%,34%,35%
Dane Scarlett,ST,49%,18%,82%,74%,10%,14%
James Justin,RB,98%,8%,82%,87%,66%,39%
Ricardo Pereira,RB,81%,69%,71%,0%,18%,97%
Woyo Coulibaly,RB,44%,45%,20%,0%,19%,35%
Wout Faes,CB,22%,27%,59%,54%,37%,55%
Conor Coady,CB,2%,3%,7%,87%,4%,45%
Memeh Caleb Okoli,CB,47%,0%,92%,72%,13%,50%
Harry Souttar,CB,100%,14%,63%,0%,75%,85%
Jannik Vestergaard,CB,54%,37%,49%,47%,38%,60%
Ben Nelson,CB,79%,6%,92%,77%,18%,9%
Victor Kristiansen,LB,49%,35%,73%,0%,2%,29%
Luke Thomas,LB,74%,37%,93%,0%,39%,68%
Wilfred Ndidi,DM,92%,20%,90%,24%,32%,17%
Harry Winks,DM,17%,52%,5%,40%,22%,83%
Oliver Skipp,DM,57%,43%,53%,0%,6%,34%
Boubakary Soumaré,DM,62%,7%,38%,0%,5%,60%
Bilal El Khannouss,AM,71%,75%,57%,21%,12%,76%
Jordan Ayew,AM,93%,18%,57%,85%,25%,12%
Abdul Fatawu,RW,96%,7%,98%,9%,40%,65%
Kasey McAteer,RW,83%,11%,92%,24%,25%,24%
Facundo Buonanotte,RW,78%,43%,99%,72%,63%,78%
Will Alves,LW,31%,35%,23%,16%,42%,6%
Stephy Mavididi,LW,38%,29%,64%,65%,31%,64%
Bobby Reid,LW,65%,9%,44%,14%,13%,21%
Jamie Vardy,ST,45%,17%,27%,29%,14%,1%
Patson Daka,ST,88%,0%,88%,11%,19%,1%
Odsonne Edouard,ST,54%,36%,97%,7%,65%,86%
Harry Clarke,RB,100%,40%,89%,0%,18%,42%
Axel Tuanzebe,RB,74%,3%,55%,0%,5%,9%
Luke Woolfenden,CB,32%,0%,56%,0%,9%,14%
